Date,PersonNumber
01-01-1977,135237302.5
01-02-1977,135433456.2
01-03-1977,135637969.5
01-04-1977,135777998.6
01-05-1977,136111927.8
01-06-1977,136275040.9
01-07-1977,136564947.2
01-08-1977,136709074.1
01-09-1977,136884409.3
01-10-1977,137161868.4
01-11-1977,137298717.8
01-12-1977,137429342
01-01-1978,137649366.4
01-02-1978,137894649.1
01-03-1978,138047323.9
01-04-1978,138161011.7
01-05-1978,138352230.8
01-06-1978,138596157
01-07-1978,138840684.5
01-08-1978,138971201
01-09-1978,139167785.6
01-10-1978,139392778.2
01-11-1978,139561910.2
01-12-1978,139771425
01-01-1979,140010460.1
01-02-1979,140222892.6
01-03-1979,140431966.8
01-04-1979,140490908.3
01-05-1979,140735370.6
01-06-1979,141077014.5
01-07-1979,141193168.1
01-08-1979,141351942.5
01-09-1979,141455768.6
01-10-1979,141674429.2
01-11-1979,141881515.1
01-12-1979,142012112.3
01-01-1980,142283931.2
01-02-1980,142426046.3
01-03-1980,142646159.4
01-04-1980,142880563.5
01-05-1980,143323674.9
01-06-1980,143629555.1
01-07-1980,143766312.2
01-08-1980,144031411.3
01-09-1980,144030009.5
01-10-1980,144076589.6
01-11-1980,144206857.4
01-12-1980,144230261.2
01-01-1981,144336167.4
01-02-1981,144422186.3
01-03-1981,144554259.6
01-04-1981,144677223
01-05-1981,144943685.5
01-06-1981,145402380.1
01-07-1981,145390930.3
01-08-1981,145508454.6
01-09-1981,145546047.5
01-10-1981,145775289
01-11-1981,146002370.6
01-12-1981,146190881.3
01-01-1982,146038301.5
01-02-1982,146103150.9
01-03-1982,146254329.1
01-04-1982,146501298.3
01-05-1982,146725448
01-06-1982,146967368.4
01-07-1982,147023385.8
01-08-1982,147159765
01-09-1982,147336377.3
01-10-1982,147565741
01-11-1982,147678133.9
01-12-1982,147861546.1
01-01-1983,147399522.4
01-02-1983,147517919.7
01-03-1983,147825925
01-04-1983,148158297
01-05-1983,148338577.1
01-06-1983,148191041.3
01-07-1983,148375678.5
01-08-1983,148521546.5
01-09-1983,148690339.4
01-10-1983,148871194.1
01-11-1983,148893919.7
01-12-1983,149039400
01-01-1984,149135533.7
01-02-1984,149264811.6
01-03-1984,149432633
01-04-1984,149611460.9
01-05-1984,149687550
01-06-1984,149807540.1
01-07-1984,149960997.3
01-08-1984,150079620.9
01-09-1984,150268255.1
01-10-1984,150340378.5
01-11-1984,150472714
01-12-1984,150689423.1
01-01-1985,150530610.4
01-02-1985,150679848.9
01-03-1985,150803144.1
01-04-1985,150939083.4
01-05-1985,150993146.7
01-06-1985,151281600.4
01-07-1985,151294833.2
01-08-1985,151395208.4
01-09-1985,151483358.6
01-10-1985,151628838.1
01-11-1985,151771276.6
01-12-1985,151940705.4
01-01-1986,152280851.9
01-02-1986,152452478
01-03-1986,152598203.5
01-04-1986,152761679.3
01-05-1986,152924009.4
01-06-1986,153049717.4
01-07-1986,153140467.6
01-08-1986,153286591.3
01-09-1986,153449196.5
01-10-1986,153574775.4
01-11-1986,153745014.7
01-12-1986,153807176.1
01-01-1987,153837025.2
01-02-1987,154052701.4
01-03-1987,154190915.2
01-04-1987,154349964
01-05-1987,154527506
01-06-1987,154683999.1
01-07-1987,154719768.9
01-08-1987,154818463.1
01-09-1987,154923527.3
01-10-1987,155026399
01-11-1987,155186516
01-12-1987,155251334.5
01-01-1988,155404083.6
01-02-1988,155487923.1
01-03-1988,155624523.2
01-04-1988,155640903.2
01-05-1988,155840670.6
01-06-1988,155975363.7
01-07-1988,156063071.6
01-08-1988,156130006.1
01-09-1988,156289156.4
01-10-1988,156423640.7
01-11-1988,156519693.6
01-12-1988,156640326
01-01-1989,156746529
01-02-1989,156826139
01-03-1989,156864791.7
01-04-1989,156920918.8
01-05-1989,156982164.3
01-06-1989,156997810.6
01-07-1989,157134220.9
01-08-1989,157269226.3
01-09-1989,157658415.2
01-10-1989,157681621.1
01-11-1989,157813455.6
01-12-1989,157924257.3
01-01-1990,159248814.3
01-02-1990,159384325.5
01-03-1990,159422005.2
01-04-1990,159536339.2
01-05-1990,159593337.9
01-06-1990,159716179.2
01-07-1990,159802496.5
01-08-1990,159971433.5
01-09-1990,160222913.2
01-10-1990,160239421.9
01-11-1990,160493276.7
01-12-1990,160678660.7
01-01-1991,160538512
01-02-1991,160715591.2
01-03-1991,160922015.9
01-04-1991,160969366.9
01-05-1991,161131945.9
01-06-1991,161193453.8
01-07-1991,161191263.3
01-08-1991,161399884.3
01-09-1991,161513735.4
01-10-1991,161643355.6
01-11-1991,161823540
01-12-1991,162041492
01-01-1992,161795317.1
01-02-1992,162035438.1
01-03-1992,162205525
01-04-1992,162312541.8
01-05-1992,162464435.1
01-06-1992,162369875.5
01-07-1992,162410025.2
01-08-1992,162804871.5
01-09-1992,163061347.4
01-10-1992,163268612.6
01-11-1992,163407830.9
01-12-1992,163523242.8
01-01-1993,163378491.9
01-02-1993,163538845.6
01-03-1993,163682502.5
01-04-1993,163884445
01-05-1993,164002196.3
01-06-1993,163995733.2
01-07-1993,164135604.1
01-08-1993,164344886.1
01-09-1993,164585176.5
01-10-1993,164781016.9
01-11-1993,164823900.7
01-12-1993,164976043.8
01-01-1994,165042634.3
01-02-1994,165234850
01-03-1994,165418263.3
01-04-1994,165623029.6
01-05-1994,165701938.6
01-06-1994,165840592.9
01-07-1994,165996987.4
01-08-1994,166011165.8
01-09-1994,166135199.2
01-10-1994,166210664.3
01-11-1994,166228799.8
01-12-1994,166371226.5
01-01-1995,166396271.7
01-02-1995,166515450
01-03-1995,166670291.8
01-04-1995,166879885.1
01-05-1995,166987731
01-06-1995,167071520.9
01-07-1995,167207538.1
01-08-1995,167345796.8
01-09-1995,167475279.8
01-10-1995,167621141.6
01-11-1995,167794234
01-12-1995,167978601.9
01-01-1996,167975194.9
01-02-1996,168103353.6
01-03-1996,168297697
01-04-1996,168520405.3
01-05-1996,168628874.7
01-06-1996,168765860.6
01-07-1996,168830510.7
01-08-1996,168998326.9
01-09-1996,169247811
01-10-1996,169368148.9
01-11-1996,169650877
01-12-1996,169843188
01-01-1997,170327926
01-02-1997,170455232.6
01-03-1997,170630689.7
01-04-1997,170759131.5
01-05-1997,170869082.8
01-06-1997,171080340.1
01-07-1997,171192251
01-08-1997,171332780.5
01-09-1997,171519189.1
01-10-1997,171678781
01-11-1997,171820887.2
01-12-1997,172030605.8
01-01-1998,172105707
01-02-1998,172287989.6
01-03-1998,172395143.8
01-04-1998,172490943
01-05-1998,172713539.1
01-06-1998,172922665
01-07-1998,173112537.9
01-08-1998,173288852
01-09-1998,173441403
01-10-1998,173562193.9
01-11-1998,173713751.4
01-12-1998,173884369.1
01-01-1999,174337456.2
01-02-1999,174535358.4
01-03-1999,174642127.3
01-04-1999,174806361.2
01-05-1999,175016296.6
01-06-1999,175264465.7
01-07-1999,175444010.2
01-08-1999,175611624.9
01-09-1999,175732081.5
01-10-1999,175969043.2
01-11-1999,176049062.8
01-12-1999,176180038.7
01-01-2000,178195855.4
01-02-2000,178254237.9
01-03-2000,178367779.3
01-04-2000,178511207.4
01-05-2000,178793553.7
01-06-2000,179044816.2
01-07-2000,179412826.5
01-08-2000,179435817.4
01-09-2000,179643462.1
01-10-2000,179809247.8
01-11-2000,179921973.8
01-12-2000,180062425.7
01-01-2001,180319227.8
01-02-2001,180484441.3
01-03-2001,180581995.8
01-04-2001,180849792.5
01-05-2001,180994683.2
01-06-2001,181382475.6
01-07-2001,181578467.4
01-08-2001,181895687.7
01-09-2001,181972754.3
01-10-2001,182277686.3
01-11-2001,182534729
01-12-2001,182736098.5
01-01-2002,182701323.4
01-02-2002,182828993.4
01-03-2002,183091779.5
01-04-2002,183330468.4
01-05-2002,183454049.6
01-06-2002,183695724
01-07-2002,183840703.1
01-08-2002,184120794.3
01-09-2002,184238712.1
01-10-2002,184452186.3
01-11-2002,184796773.4
01-12-2002,184903998.1
01-01-2003,185677492.6
01-02-2003,185822882.5
01-03-2003,186145223.4
01-04-2003,186466201.8
01-05-2003,186727300.8
01-06-2003,186913899.4
01-07-2003,187192164.1
01-08-2003,187405516.5
01-09-2003,187573832.7
01-10-2003,187711408.2
01-11-2003,187902070.2
01-12-2003,188013578.4
01-01-2004,187557379.4
01-02-2004,187823751.4
01-03-2004,188112352.7
01-04-2004,188340729.1
01-05-2004,188555151.2
01-06-2004,188688997.9
01-07-2004,188795529.9
01-08-2004,189022033.5
01-09-2004,189270737.9
01-10-2004,189484115.2
01-11-2004,189654979.6
01-12-2004,189862412.6
01-01-2005,190041709.8
01-02-2005,190225958.4
01-03-2005,190431383.9
01-04-2005,190505285
01-05-2005,190682354
01-06-2005,190877896
01-07-2005,191062686
01-08-2005,191164880.7
01-09-2005,191492124.9
01-10-2005,191701434.3
01-11-2005,192006589.3
01-12-2005,192195500.9
01-01-2006,192317221.9
01-02-2006,192522141.2
01-03-2006,192600843.3
01-04-2006,192802690.2
01-05-2006,192953881.9
01-06-2006,193191128.1
01-07-2006,193435852.6
01-08-2006,193520655
01-09-2006,193602129.5
01-10-2006,193704990.6
01-11-2006,193904741.1
01-12-2006,194085522.1
01-01-2007,194799596.8
01-02-2007,195040435.5
01-03-2007,195138831.5
01-04-2007,195262525.2
01-05-2007,195410641.2
01-06-2007,195681184.3
01-07-2007,195852112.5
01-08-2007,195985229.1
01-09-2007,196066906
01-10-2007,196120587
01-11-2007,196152170.7
01-12-2007,196412756.7
01-01-2008,196032382.3
01-02-2008,196230973.5
01-03-2008,196360006.5
01-04-2008,196214346.4
01-05-2008,196434139
01-06-2008,196493972.1
01-07-2008,196537781.5
01-08-2008,196647306.1
01-09-2008,196797051.6
01-10-2008,196918180.3
01-11-2008,197115365.8
01-12-2008,197383969.4
01-01-2009,197105232.9
01-02-2009,197310846.9
01-03-2009,197598915.2
01-04-2009,197879687.1
01-05-2009,198006063.4
01-06-2009,197631872.7
01-07-2009,197728512.9
01-08-2009,198073362.4
01-09-2009,198394511.7
01-10-2009,198696644.2
01-11-2009,198754928.4
01-12-2009,198803063.5
01-01-2010,198302153.2
01-02-2010,198456043
01-03-2010,198660605.2
01-04-2010,198992117.4
01-05-2010,199073278.4
01-06-2010,198914940.9
01-07-2010,198999617
01-08-2010,199204099.5
01-09-2010,199524882.9
01-10-2010,199853454.3
01-11-2010,199992326.6
01-12-2010,199999909.9
01-01-2011,199168077.2
01-02-2011,199359811.6
01-03-2011,199543888.7
01-04-2011,199946930.4
01-05-2011,200052252.3
01-06-2011,200016534.6
01-07-2011,200139998
01-08-2011,200149441.9
01-09-2011,200259665.6
01-10-2011,200419040
01-11-2011,200304425.5
01-12-2011,200298180.9
01-01-2012,200963648.9
01-02-2012,201093761.5
01-03-2012,201255443
01-04-2012,201506118.5
01-05-2012,201524500.3
01-06-2012,201490722
01-07-2012,201505939.2
01-08-2012,201577971.9
01-09-2012,201618484.5
01-10-2012,201653506.7
01-11-2012,201702053.4
01-12-2012,201800781.1
01-01-2013,201731132.2
01-02-2013,201885764
01-03-2013,202021604.5
01-04-2013,202163176.2
01-05-2013,202294433.1
01-06-2013,202315928
01-07-2013,202325227
01-08-2013,202519571.3
01-09-2013,202633423.7
01-10-2013,202730674.4
01-11-2013,202710816.1
01-12-2013,202762403.6
01-01-2014,202535507.1
01-02-2014,202715775.3
01-03-2014,202700068.9
01-04-2014,202826802.3
01-05-2014,202926990.1
01-06-2014,203071626.5
01-07-2014,203054644.7
01-08-2014,203146231.6
01-09-2014,203209427
01-10-2014,203242456.2
01-11-2014,203372817
01-12-2014,203365659.3
01-01-2015,203877104.5
01-02-2015,203929251.5
01-03-2015,203960634.9
01-04-2015,203977226.5
01-05-2015,204234626.2
01-06-2015,204433297.3
01-07-2015,204549076.5
01-08-2015,204570878.4
01-09-2015,204642750.8
01-10-2015,204688472.8
01-11-2015,204735031.3
01-12-2015,204708605.4
01-01-2016,205095554.9
01-02-2016,205093630.8
01-03-2016,205170671.4
01-04-2016,205242289.9
01-05-2016,205437871.4
01-06-2016,205574500.7
01-07-2016,205755602.8
01-08-2016,205659160.8
01-09-2016,205737193.1
01-10-2016,205833286.3
01-11-2016,205792055.7
01-12-2016,205884522.7
01-01-2017,205414205.2
01-02-2017,205428202
01-03-2017,205325622.6
01-04-2017,205362944.4
01-05-2017,205528697.7
01-06-2017,205675380.2
01-07-2017,205820115.3
01-08-2017,205748172.1
01-09-2017,205703830
01-10-2017,205720370.1
01-11-2017,205701931.9
01-12-2017,205769485.5
01-01-2018,206418541.1
01-02-2018,206266736.7
01-03-2018,206190991.1
01-04-2018,206209542.8
01-05-2018,206459230.2
01-06-2018,206631867.3
01-07-2018,206726757.2
01-08-2018,206723072.6
01-09-2018,206672135.3
01-10-2018,206601411.9
01-11-2018,206524095.2
01-12-2018,206659746.4
01-01-2019,206389852
01-02-2019,206324509.8
01-03-2019,206212143.2
01-04-2019,206238880.6
01-05-2019,206603775.9
01-06-2019,206613606.5
01-07-2019,206578916.3
01-08-2019,206357913.2
01-09-2019,206189520.5
01-10-2019,205978136
01-11-2019,205846446.1
01-12-2019,205818014.7
01-01-2020,205590167.3
01-02-2020,205399544.1
01-03-2020,205420438.3
01-04-2020,206948571.5
01-05-2020,207342783.1
01-06-2020,205973661.3
01-07-2020,205989133.4
01-08-2020,205902595.8
01-09-2020,206158978.7
01-10-2020,205836714.7
01-11-2020,205862153.8
01-12-2020,205592444.1
01-01-2021,205218976.3
